============================================================================================================================================
ALL PARAMETERS
============================================================================================================================================
61    | transformer.h.4.mlp.c_proj.bias                                                                      | shape=(768,) | dtype=torch.float32 | params=768
62    | transformer.h.5.ln_1.weight                                                                          | shape=(768,) | dtype=torch.float32 | params=768
63    | transformer.h.5.ln_1.bias                                                                            | shape=(768,) | dtype=torch.float32 | params=768
64    | transformer.h.5.attn.c_attn.weight                                                                   | shape=(768, 2304) | dtype=torch.float32 | params=1,769,472
65    | transformer.h.5.attn.c_attn.bias                                                                     | shape=(2304,) | dtype=torch.float32 | params=2,304
66    | transformer.h.5.attn.c_proj.weight                                                                   | shape=(768, 768) | dtype=torch.float32 | params=589,824
67    | transformer.h.5.attn.c_proj.bias                                                                     | shape=(768,) | dtype=torch.float32 | params=768
68    | transformer.h.5.ln_2.weight                                                                          | shape=(768,) | dtype=torch.float32 | params=768
69    | transformer.h.5.ln_2.bias                                                                            | shape=(768,) | dtype=torch.float32 | params=768
70    | transformer.h.5.mlp.c_fc.weight                                                                      | shape=(768, 3072) | dtype=torch.float32 | params=2,359,296
71    | transformer.h.5.mlp.c_fc.bias                                                                        | shape=(3072,) | dtype=torch.float32 | params=3,072
72    | transformer.h.5.mlp.c_proj.weight                                                                    | shape=(3072, 768) | dtype=torch.float32 | params=2,359,296
73    | transformer.h.5.mlp.c_proj.bias                                                                      | shape=(768,) | dtype=torch.float32 | params=768
74    | transformer.ln_f.weight                                                                              | shape=(768,) | dtype=torch.float32 | params=768
75    | transformer.ln_f.bias                                                                                | shape=(768,) | dtype=torch.float32 | params=768

TOTAL PARAMETERS: 76
